Kiswahili,Kikuyu
Kaini akaondoka mbele ya Mwenyezi-Mungu ,Kaini agĩkĩehera harĩ MWATHANI 
kila mmoja akaenda na watu wa nyumba yake,o mũndũ agĩthiĩ na andũ a mũciĩ wake
akamkabidhi mtumishi akaitayarisha haraka,akĩmĩnengera ndungata ĩkĩmĩhaarĩria narua
lakini nilikuja kuwaita watenda dhambi . ,no ndokire gwita ehia . 
Alama ya agano ya kudumu milele na milele,Rũũri rwa kĩrĩĩkanĩro gĩa gũtũũra tene na tene
utawaangamiza watu wema pamoja na waovu ?,ũkũniinanĩria andũ arĩa athingu na arĩa matarĩ athingu ?
ila itupwe na kukanyagwa chini na watu . ,o tiga uteiruo ukinyangiririo thi ni andu . 
Agano ambayo natengeza na nyinyi ni hii ,Kĩrĩĩkanĩro kĩrĩa ngũthondeka na inyuĩ nĩ gĩĩkĩ 
Maji yakaongezeka na kuiinua safina juu .,maaĩ makĩingĩha makĩoya thabina na igũrũ .
Naye mwanafunzi mwingine akamwambia hivi,Nake murutwo ungi akimwira uu
ni lazima na nyinyi pia mfanye kama hao .,no muhaka o na inyui mumekage o tamo .
kwani hukuninyima hata mwanao wa pekee . ”,tondũ ndũnangiria mũũrũguo ũcio wa mũũmwe . ”
Lakini  mkewe Loti aliyekuwa nyuma yake ,No rĩĩrĩ  mũtumia wa Loti arĩ thuutha wake 
Isakari  elfu hamsini na nne na mia nne .,Isakaru	 Ngiri mĩrongo ĩtaano na inya na magana mana .
“ Nikienda kwa watu wa Israeli niwaambie ,“ Ndathiĩ kũrĩ andũ a Isiraeli ndĩmeere 
na sisi wawili tutapata watoto na baba . ”,na ithuerĩ tũkĩgĩe ciana na baaba . ”
na uchukue samaki yule utatega wa kwanza .,na woe thamaki iria ugutege mbere .
Mwanaume wa miaka mia moja atapata mtoto ?,Mũndũ mũrũme wa mĩaka igana aagĩa mwana ?
ambayo alikua nayo wampeleke nje ya nchi .,iria aarĩ nacio mamũtware nja ya bũrũri .
nawasihi mwombeni Efroni mwana wa Sohari ,ndamũthaitha ĩraai Efironi mũrũ wa Zohari
na watamuua  na siku ya tatu afufuliwe . ,na nimekumuraga  na muthenya wa gatatu ariukio . 
Nikiona watu wema arubaini sitaumaliza . ”,Ingĩona andũ mĩrongo ĩna ndikũrĩniina . ”
Kunywa  na hata ngamia wako nitawatekea ,Nyua  o na ngamĩĩra ciaku nĩngũcitahĩra 
akawasimamisha ngamia hapo wakati wa jioni,ĩkĩrũũgamia ngamĩĩra ho mathaainĩ ma hwaĩinĩ
Si watoza ushuru watafanya hivyo pia wao ?,Githi etia a mbeca cia igooti matiikaga uguo o nao ?
Abimeleki mfalme wa Wafilisti alichungulia,Abimeleki mũthamaki wa Afilisiti nĩacũũthĩrĩirie
walikaa huko mpaka muda Herode alipokufa .,maikarire kinya hĩndĩ ĩrĩa Herode aakuire .
Wanaume wale waliokuja kulala huku kwako ,Arũme arĩa mookire kũraarĩrĩra gũũkũ gwaku-rĩ 
Kile kilicho ndani ya mwili hakijulikani .,Kiria gi thiini ya mwiri gitimenyagwo .
huu ni mwanzo tu wa yale watakayoyafanya .,gĩĩkĩ nĩ kĩambĩrĩria kĩa ũrĩa marĩĩka .
Vile aliona Wafarisayo na Wasadukayo wengi,Riria onire Afarisai na Asadukai aingi
hakuna mtu aliyekubali kupitia njia hiyo .,gutiri mundu wetikagira kugera njira iyo .
Zaeni ili vizazi vyenu wakaishi dunia yote,Ciaranaai nĩ geetha njiarwa cianyu igaatũũra thĩ yothe
Chukua unga wa ngano haraka uukande mikate,Oya mũtu wa ngano narua ũruge mĩgate
Kwa babako naweza pata nafasi ya kulala ? ,Gwa thooguo-rĩ  no tuone handũ ha kũraara ? ”
Mwenyezi-Mungu akamtokea Abramu akamwambia,MWATHANI nĩoimĩrĩire Aburamu akĩmwĩra
Ni mimi Mwenyezi-Mungu ambaye alikutoa Uri,Nĩ niĩ MWATHANI ũrĩa wakũrutire Uru
NItakupa wazawa wengi kamamavumbi ya dunia,Nĩngũkũhe njiarwa nyingĩ o ta rũkũngũ rwa thĩ
Watu hawawashi taa na kuifukia na kikapu ,Andu matiakagia tawa makaukunikiria na gikabu 
 Watu husema mwana wa mwanadamu ni nani ? , Andu moigaga muru wa mundu nu ? 
Si mzaha kilio cha Waisraeli kimenifikia ,Ti itherũ kĩrĩro kĩa andũ a Isiraeli nĩkĩnginyĩire 
Mmeskia jinsi watu wa kale walivyoambiwa ,Ni muiguite uria andu a tene meeriruo 
bila shaka hamtaingia Ufalme wa mbinguni .,hatari nganja mutikaingira Uthamaki-ini wa iguru .
watatimiziwa na Baba yule aliye mbinguni .,ni maka hingirio ni Awa uria uri iguru .
Sara anaweza mtoto akiwa na miaka tisini ?,Sara no agĩe mwana e na mĩaka mĩrongo kenda ?
msibebe dhababu au fedha vibetini mwenyu .,mutigakuue thahabu kana betha ibeti-ini cianyu .
Msiwape mbwa vitu vile vimeamuliwa Mungu ,Mutikanahe ngui indo iria ciamuriiruo Ngai 
Naftali  elfu hamini na tatu na mia nne .,Nafutali  Ngiri mĩrongo ĩtaano na ithatũ na magana mana .
Esau alipokuwa na umri wa miaka arubaini ,Esau akinyia mĩaka mĩrongo ĩna 
Kenani alipokuwa na umri wa miaka sabini .,Kenani arĩ wa mĩaka mĩrongo mũgwanja .
Mwenyezi-Mungu akamtokea Isaka kumwambia ,MWATHANI nĩoimĩrĩire Isaaka akĩmwĩra 
Mwanangu  imekuwaje umepata upesi hivyo ?,Mũũriũ  kaĩ waciona narua atĩa ?
wazawa wako waimiliki miji ya adui zao . ”,Njiarwa ciaku irohootaga matũũra ma thũ ciacio ! ”
nitatimiza mambo yote ambayo nilimwambia .,nĩngaahingia maũndũ moothe marĩa ndamwĩrĩire .
kutoka kwa jamaa yangu na nyumba ya baba .,kuuma kũrĩ andũ aitũ na nyũmba ya baaba .
Tumeiona nyota yake ilipotokea mashariki !,Nĩtuonire njata yake mwena wa na irathĩro !
Basi wakawafanyisha watu wa Israeli kazi ,Kwoguo makĩrutithia andũ a Isiraeli wĩra 
kisha wataniua lakini wewe watakuacha hai .,kwoguo manjũrage magũtige muoyo .
lakini kama hamtawasamehe watu makosa yao ,no angikoruo mutiriohagira andu mehia mao 
huyo ndiye baba wa Wamoabu hadi siku hizi .,ũcio nĩ we ithe wa Amoabi a matukũ maya .
kwa sababu kesho itakua na mahanaiko yake .,tondu ruciu ni rugaakoruo na mitangiko yaruo .
Vile mfalme Herode aliposikia habari hiyo ,Rĩrĩa mũthamaki Herode aiguire ũhoro ũcio 
akamwita kutoka pale kichakani akamwambia ,akĩmwĩta kuuma haria kĩhinga akĩmwĩra 
nazo vitu hivyo vingine vyote mtaongezewa .,namo maundu macio mangi mothe ni muriongagiriruo .
au mwanawe amuombe samaki  na ampe nyoka ?,kana muruwe angimuhoya thamaki-ri na amuhe nyoka ?
Huyo ndiye baba wa Waamoni hadi siku hizi .,ũcio nĩ we ithe wa Aamoni a matukũ maya .
Hakuna kitu ntafanya kabla haujafika huko .,Ndirĩ ũndũ ngwĩka ũtakinyĩĩte kuo .
ili uwaogoze watu wangu watoke nchi hiyo . ,nĩ geetha ũgatongorie andũ aakwa moime bũrũriinĩ ũcio . ”
Haya ndiyo majina ya watu watakaokusaidia ,Nao andũ arĩa maathuurirwo a kũmateithĩrĩria nĩ 
au hata dunia kwa maana ndiyo la miguu yake,o na kana thi tondu niyo ka makinya make
Hamwezimtumikia Mungu na mtumikie utajiri .,Mutingitungatira Ngai na mutungatire Utonga .
leo tumpe divai tena ne wewe utalala naye ,ũũmũũthĩ tũmũhe ndibei rĩngĩ nawe ũkome naake 
naweni uso zenu na kujipaka mafuta kichwani,mwithambagei mothiu manyu na mukehaka maguta mutwe
Naye Petero akampeleka  akaanza kumkemea .,Nake petero akimutwara  akiambiriria kumukaania .
Wanawake hao waliwadharau Isaka na Rebeka .,Atumia acio nĩmaanyamaaririe Isaaka na Rebeka .
ninalofanya nanyi na viumbe wote wenye uhai,kĩrĩa ndĩrathondeka na inyuĩ na ciũmbe ciothe i muoyo
Hivyo ndivyo Esau alivyoidharau haki yake .,Ũguo nĩguo Esau aanyararire ũrigithaathi wake .
Ila Mwenyezi Mungu akamwita mwanamume huyo,No MWATHANI Ngai agĩĩta mũndũ mũrũme ũcio 
Na alikua mbele yao akageuka kama alivyokua,Na ari mbere yao akigaruruka uria aatarii
akavipanga katika safu mbili vikielekeana ,agĩciiga mĩhari ĩĩrĩ iringaine 
Naye mtu huyo akaamka na akaenda nyumbani .,Nake mundu ucio agiukira na akiinuka .
moja yako  moja ya Musa na moja ya Eliya .,imwe yaku  imwe ya Musa na imwe ya Elija .
Huko ndiko Abrahamu na mkewe Sara walizikwa,Kũu nĩkuo Aburahamu na mũtumia wake Sara maathikirwo
“ Weka mkono wako mapajani mwangu na uape .,“ Toonyia mooko maaku cieroinĩ ciakwa wĩhĩte .
Mungu akambariki Noa na wanawe akawaambia ,Ngai akĩraathima Noa na ciana ciake akĩmeera 
Ng`ombe wetu ni wakati amezaa ndama mzuri .,Ng'ombe itu ni hindi yaciara gacau kega .
hadi vile Mwana wa mwanadamu atafufuliwa . ,nginya riria Muru wa mundu akaariukio . 
akĩrũmĩrĩra athamaki acio ana nginya Dani .,akawafuatia wafalme hao wanne mpaka Dani .
naomba mniruhusu kurudi kwa bwana wangu . ”,Rekeei njooke kwĩ mũnene wakwa . ”
Na tangu wakati huo mwanamke huyo akapona .,Na kuuma hindi iyo mutumia ucio akihona.
maana Mwenyezi-Mungu amesikia mateso yako .,amu MWATHANI nĩoneete mĩnyamaaro yaku .
 Mwenyezi-Mungu msikilie mwana wangu huruma, Mwathani iguira muru wakwa tha
siku ya ishirini na saba ya mwezi wa pili ,mũthenya wa mĩrongo ĩĩrĩ na mũgwanja wa mweri wa keerĩ 
habari hiyo ilijulikana mahali huko kwote .,uhoro ucio ni wamenyekire kundu kuu guothe .
Kama mtu anatoa baadhi ya kondoo au mbuzi ,Angĩkorwo mũndũ araruta ĩmwe ya ng'ondu kana mbũri 
Kabla hajapelekwa juu aliwapatia maagizo  ,Atanatwaro iguru niamaheire mawatho 
Aliona jiwe  akaliwekelea kichwa akalala .,Nĩoire ihiga  agĩĩtiira narĩo mũtwe agĩkoma .
wakarudi nchi yao wakapitia njia nyingine .,magicoka bururi wao magereire njira ingi .
Lakini ndugu na mama yake Rebeka wakasema ,No mũrũ wa nyina na Rebeka o na nyina makiuga 
 Tulishindwa kufukuza pepo hiyo kwa nini ? , Turemiruo ni kuingata ndaimono iyo niki ? 
na wale maskini wanapewa habari ile njema .,nao aria athini ni maraheo uhoro uria mwega .
hivyo ndivyo watamtesa Mwana wa mwanadamu .,uguo noguo makaanyamaria Muru wa mundu .
maari andũ magana matatũ na ikũmi na anaana,walikua watu mia tatu kumi na nane
Hata wakati huo alikua mlevi sana hakujua .,O na hĩndĩ ĩyo aarĩ mũrĩĩu mũno ndakĩmenyire .
hakuna yeyote miongoni mwetu atakayekunyima,Ithuothe gũtirĩ ũngĩkũgiria
akapiga kambi yake katika bonde la Gerari .,agĩthiĩ akĩamba hema gĩtuambainĩ kĩa Gerari .
na vikapu vile vyote mlikusanya iliyobaki ?,na ikabu iria ciothe muonganirie yatigara ?
sema neno moja na mtumishi wangu atapona . ,uga kiugo kimwe na ndungata yakwa ni ikuhona . 
Kwa maana hata mimi huwa chini ya mamlaka ,Tondu o na nii ngoragwo rungu rwa wathani 
“ Mimi ninaishi kama mgeni miongoni mwenu .,“ Niĩ ndĩ mũrũũrĩrĩ ũtũũraga athaamĩire gũũkũ kwanyu 
Ni kitu gani kimekusukuma kufanya hivyo ? ”,Weciiragia atĩa nĩguo wĩke ũndũ ta ũyũ ? ”
Jioni alitoka akaenda kutembea mashambani ,Kĩhwaĩinĩ nĩoimĩrire agĩthiĩ gũceeranga mĩgũndainĩ 
Sasa mrudishe huyo mwanamke kwa mume wake .,Rĩu gĩcookie mũtumia ũyũ kũrĩ mũthuuriwe .
na kwamba mngeniua kwa sababbu ya mke wangu,na nĩngũũragwo nĩ ũndũ wa mũtumia wakwa
mkuu mmoja wa askari akaja kwake  akamsihi,munene umwe wa thigari agiuka kuri we  akumuthaitha
Kwa nini kilikufanya useme ati ni dada yako,Nĩ kĩĩ kĩratũmire uuge atĩ nĩ mwarĩ wa maitũguo
uje unitengenezee chakula kile nipendacho ,ũũke ũndugĩre irio iria nyendeete 
wakaenda kupigana na wafalme wengine watano,magĩthiĩ kũrũa na athamaki angĩ ataano
Na akiwaponya watu magonjwa na ulemavu wote,na akihonagia andu mirimu na wonje yothe
 Mwalimu  nitakufuata kote kule utaenda . ,Murutanini ndikurumagirira kuria guothe urithiaga . 
yule aliyejenga nyumba yake juu ya mwamba .,uria waakire nyumba yake iguru  ria ihiga .
Hapo mwanzo Mungu aliziumba mbingu na nchi .,O Kiambiririani Ngai oombire iguru na thi .
 Amefukuza pepo kwa nguvu za mkuu wa pepo . , Aingataga ndaimono na hinya wa munene wa ndaimono . 
Wacheni tushuke chini na kuivuruga lugha yao,Rekeei tũikũrũke nĩ geetha tũkahĩngĩcanie rũthiomi rwao
 Jambo kama hili hlijawai onekana Israeli . , Undu ta uyu nduri woneka Isiraeli . 
kikundi kikastaajabu sana na kikasema hivi ,Kirindi gikigega muno na gikiuaga uu 
Asheri  elfu arubaini na moja na mia tano .,Asheri  Ngiri mĩrongo ĩna na ĩmwe na magana mataano .
Naye Abeli akamtolea wazawa wa kondoo wake ,Naake Habili agĩtwara irigithaathi rĩmwe rĩa rũũru rwake 
 Mtu yule aliye shambani anayekuja kutulaki ,“ Mũndũ ũũrĩa wĩ mũgũnda ũrooka gũtũtũnga-rĩ 
yule aliyejenga nyumba yake juu ya mchanga .,uria waakire nyumba yake iguru ria muthanga .
Lakini kila mtoto wa kike mwacheni aishi . ”,no tũirĩĩtu mũkareka tũtũũre muoyo . ”
alibaki akirukaruka mpaka maji yalipokauka .,rĩatũũrire rĩũrũũraga nginya rĩrĩa maaĩ maahũire .
lakini  mwanakondoo wa sadaka yuko wapi ? ”,no rĩĩrĩ ndũrũme ya igongoona ĩ ha ? ”
lakini mti wowote mwovu huzaa mazao mabaya .,no muti o wothe muru uciaraga maciaro moru .
na kufanya kazi za aina yote shambani kwao .,na kũruta mawĩra ma mĩthemba yothe mĩgũndainĩ yao  .
kisha akawabariki  na akawaita “ Binadamu ”,agĩcooka akĩmaraathima  na akĩmeeta “ Andũ ”
lakini ikiwa hamtawasemehe watu makosa yao ,no angikoruo mutiriohagira andu mehia mao 
Lakini kadiri watu wa Israeli walivyoteswa ,No o ũrĩa andũ a Isiraeli maahinyagĩrĩrio 
jinsi ilisababisha maji yaingie kwa mashua ,undu maatumaga mai maingire gataru-ini 
Wakapiga makelele kwa sauti kubwa wakisema ,Magikaya na mugambo munene makiugaga 
Mwenyezi-Mungu  Mungu wako  amenifanikisha,MWATHANI  Ngai waku  nĩahotithia
naye Mehuyaeli alikuwa baba ya Methushaeli ,naake Mehujaeli aarĩ ithe wa Methushaeli 
na walipofika mjini  wakapeana mambo yote ,na maakinya tauni  makiheana maundu mothe 
Nitakupa wazawa wengi kama nyota za mbinguni,Nĩngaakũhe njiarwa nyingĩ o ta njata cia matuinĩ
Abrahamu alikuwa na umri wa miaka mia moja .,Aburahamu aarĩ wa mĩaka igana rĩmwe .
kwa maana msichana huyu ni kulala amelala . ,tondu kairitu gaka ni gukoma gakomete . 
akamwambia mtu huyo aliyepooza viungo kuwa ,akira mundu ucio wakuite ciiga atiri 
Mmoja atakuwa mwenye nguvu kuliko mwingine ,Ũmwe nĩagaakorwo e na hinya gũkĩra ũcio ũngĩ 
zaaneni ili vizazi vyenu wakaishi dunia yote,Ciaranaai nĩ geetha njiarwa cianyu igaatũũra thĩ yothe
Mbwa wetu alichunga nyumba yetu usiku yote .,Ngui itu iragitirire mucii witu utuku wothe .
Watu wa huko walipomwuliza habari za mkewe ,Andũ a kũu mooririe ũhoro wa mũtumia wake 
Wanyama wote ndege  na samaki  watawaogopa,Nyamũ ciothe  nyoni  na thamaki nĩirĩmwĩtigagĩra
kutakuwa na majira ya kupanda na ya kuvuna ,nĩkũrĩkoragwo na ihinda rĩa mahanda na rĩa magetha 
na ni yeye alikua wa kwanza kupanda mizabibu,na nĩwe warĩ wa mbere kũhanda mĩthabibũ
Sara  mke wa bwana wangu katika uzee wake ,Sara  mũtumia wa mũnene wakwa e mũkũrũ
Zebuluni  elfu hamsini na saba na mia nne .,Zebuluni  Ngiri mĩrongo ĩtaano na mũgwanja na magana mana .
Mungu humuaibisha mtu aliye na tabia mbaya ,Ngai ni aherithagia mundu wa mitugo miuru .
hakuna wakati mtaingia Ufalme wa mbingini . ,gutiri hindi mukaingira Uthamaki-ini wa iguru . 
Kwa hivyo usiku huo pia wakampa divai tena ,Kwoguo ũtukũ ũcio makĩmũhe ndibei rĩngĩ 
watu wale walikaa gizani waliona mwanga mkuu,andu aria maikaraga ndumaini ni moonire utheri munene
‘ Mungu wa babu zenu ndiye amenituma kwenu ’,‘Ngai wa maithe maanyu nĩ we wandũma kũrĩ inyuĩ ’
 Eliya ni lazima aje na atengeze mambo yote , Elija no muhaka oke na acokererie maundu mothe 
kama viongozi wakuu wa makabila wanayotoka ,maarĩ atongoria a mũhĩrĩga ũrĩa mũndũ oimĩĩte 
Na vile Yesu aliskia ati Yohana amekamatwa ,Na riria Jesu aaiguire ati Johana ni anyititwo 
Tena nitakuambia kuwa   wewe ndiwe Petero ,Ningi ngukwira atiwee niwe Petero
lakini nyinyi  wakati ule mtapeana zawadi ,No inyui-ri hindi iria mukuheana iheo 
sauti ukatoka ndani ya wingu hilo likasema ,mugambo ukiuma thiini wa itu riu ukiuga 
Ningependa uape kwa jina la Mwenyezi-Mungu ,Nĩngwenda wĩhĩte na rĩĩtwa rĩa MWATHANI 
Niuzieni shamba ili nipate kumzika wangu . ”,nyenderiai mũgũnda nĩ geetha thike mũtumia wakwa . ”
Herode akawaita wajuzi hao wa nyota kwa siri,Herode agita atuiria acio a njata na hitho
ataweka mkono wake kichwani pa mnyama huyo ,aigĩrĩre guoko gwake mũtwe wa nyamũ ĩyo 
Kisha akawatuma Bethlehemu akawaambia kuwa ,Agĩcooka akĩmatũma Bethilehemu akĩmeera atĩrĩ 
ni jambo rahisi kwa dunia na mbinguni kupita,ni undu muhuthu hari iguru na thi guthira
Yakobo alikua baba ya Yuda na wana wengine .,Jakubu aari ithe wa Juda na ariu angi .
Baada ya kujifung kula chakula siku arubaini,Thutha wa kwıhinga kuria irio thiku mirongo ina
Isaka alitoka huko na akaelekea Beer-sheba .,Isaaka nĩoimire kũu akĩambata Beerisheba .
 Kufurahi  ni wale mahitaji yao ya kiroho , Gukena-ri  ni aria mabataro mao ma kiiroho
Kama sadaka anayotoa mtu ni ya kuteketezwa ,Angĩkorwo mũndũ ekũruta igongoona rĩa njino 
lakini mtu yeyote akupigaye shavu la kuume ,no mundu o wothe angikugutha ruthia rwa urio 
kuwa mikate hiyo yote ni ya Mwenyezi-Mungu .,atĩ mĩgate ĩyo yothe nĩ MWATHANI .
Nao wale walikula wakikua wanaume elfu nne ,Nao aria maariire maari arume ngiri inya 
na nguo zake za juu yakawa meupe kama nuru .,na nguo ciake cia iguru ikihenia o ta utheri .
alikuwa na umri wa miaka themanini na sita .,aarĩ wa mĩaka mĩrongo ĩnaana na ĩtandatũ .
kutimiza vile kulisemwa kupitia nabii Isaiya,kuhigia uria kwerirwo kugerera munabii Isaia
Ikiwa sadaka ambayo inatolewa ni ya mikate ,Angĩkorwo igongoona rĩrĩa rĩrarutwo nĩ rĩa mĩgate 
akaita kitoto  akamsimamisha katikati yao .,agita kaana  agikarugamia gatigati-ini kao .
 Kutakuwa mtu akizungumza jangwani akisema ,Hari mundu uraanirira weru-ini akioga 
Abrahamu alimrithisha Isaka mali yake yote .,Aburahamu nĩatigĩire Isaaka indo ciothe iria aarĩ nacio .
iwache zawadi yako hapo mbele ya madhabahu ,tiga kiheo giaku hau mbere ya kigongona 
Hata wewe ni lazima utalishika agano langu ,O nawe no mũhaka ũmenyagĩrĩre kĩrĩĩkanĩro gĩakwa 
Simeoni  elfu hamsini na tisa na mia tatu .,Simeoni	 Ngiri mĩrongo ĩtaano na kenda na magana matatũ .
tena mmesikia kuwa watu wa zamani waliambiwa,ningi ni muiguite ati andu a tene ni meeriruo
malaika wa Yehova akamtokea Yusufu ndotoni ,muraika wa Jehova akiumirira Jusufu kiroto-ini 
Na baada ya Yesu kuwaelezea kikundi habari ,Na thutha wa Jesu kuugira kirindi uhoro 
kwanza enda usikilizane na mwana wa baba yenu,ambe uthii ukaiguane na muru wa ithe wanyu
Mwanao halisi ndiye atakayekuwa mrithi wako .,mũũrũguo kũna nĩ we ũgaakũgaya .
wala haitatokea tena gharika kuiharibu nchi .,o na kana thĩ yaanangwo nĩ mũiyũro wa maaĩ .
lakini Babayenu wa mbinguni huwapa cha kula .,no Ithe wanyu wa iguru ni aciheaga gia kuria .
kuna wengine waliosimama hapa hawataonja kifo,ni hari amwe marugamite haha matagacama gikuu
mjichunge kwa maana watu watawapeleka kortini,mwimenyagirirei tondu andu ni makamutwara magooti-ini
Kama vile umeonyesha imani  na kuwe hivyo . ,ta uria wonania witikio-ri  ni gutuike guo . 
hakuna kitu hata kimoja chako ntabaki nacho ,ndirĩ kĩndũ o na kĩmwe gĩaku ngũtigwo nakĩo 
Yesu akarudi akawaambia wanafunzi wake hivi ,Jesu agicoka akira arutwo ake uu 
nakusihi unipe maji kutoka mtungi wake nimywe,ndagũthaitha he maaĩ kuuma ndigithũinĩ yaku nyue
Huyo atawabatiza kwa roho mtakatifu na moto .,Ucio akaamubatithagia na roho mutheru na mwaki .
Kwa hivyo Mingu akaumba watu kwa mfano wake .,Kwoguo Ngai agikiumba andu mahaana taake .
 Umekuja kufanya nini huku  Mwana wa Mungu ?, Woka gwika atia guku  Muru wa Ngai ?
Tena  nyi husumbuka kwa nini kuhusu mavazi ?,Ningi-ri  mutangikaga niki uhoro-ini wa kwihumba ?
' Wewe una deni itoshanaje ya bwana wangu ? ',' Wee uri na thiiri uigana atia wa mwathi wakwa ? '
Adhabu yangu ni kubwa  siwezi kuistahimili .,Ihera rĩu nĩ inene  ndingĩrĩhota .
naye akabeba kisu na moto  wakaenda wawili .,naake agĩkuua kahiũ na mwaki  magĩthiĩ eerĩ .
akavipa majina yaleyale aliyovipa baba yake .,agĩcihe marĩĩtwa o marĩa ciaheetwo nĩ ithe .
Josiah alikua baba ya Jekonia na wana wengine,Josia aari ithe wa Jekonia na ariu angi
Lakini Yesu akageuka akamwambia Petero hivi ,No Jesu akigaruruka akira Petero uu 
Mwenyezi-Mungu akufanye mwindaji Kama Nimrodi,MWATHANI arogũtua mũgwĩmi ta Nimurod
Nyi huweza kutabiri vile anga itakua ikikaa ,Ni muhotaga gutaariria uria riera rigukoruo rihaana 
Mtu yule akainama akamwabudu Mwenyezi-Mungu ,Mũndũ ũcio akĩinamĩrĩra agĩthaathaiya MWATHANI 
Akikusikia  mrudiane na mwana wa Baba yenu .,Angikuigua-ri  ni mwacokanwo na muru wa Ithe wanyu .
Utakula chakula vile utakuja kwetu nyumbani .,Ni ukaria irio riria ugoka gwitu mucii .
Mwenyezi-Mungu na ahukumu kati yako na mimi !,MWATHANI arotũithania ũhoroinĩ ũcio !
Nitafanya agano nawe na nikupe wazawa wengi .,Nĩngũthondeka kĩrĩĩkanĩro nawe na ngũhe njiarwa nyingĩ .
alipowasili kisimani kilichokuwa nje ya mji ,yakinya gĩthimainĩ kĩrĩa kĩ nja ya itũũra 
Baba yenu wa mbinguni hata yeye atawasamehe ,Ithe wanyu wa iguru o nake ni arimuohagira 
kwa hivyo watu wale wawili wakamchukua Loti ,kwoguo andũ arĩa eerĩ makĩoya Loti 
Nitakupa nchi hii ya ugenini ambamo unaishi ,Nĩngũkũhe bũrũri ũyũ wa ũgeni ũtũũraga 
toka mpakani wa Misri hadi ule mto wa Eufrate,kuuma mũhaka wa Misiri nginya rũũĩ rwa Farati
Baada ya Yesu kuzaliwa Bethilehemu ya Yidea .,Thutha wa Jesu guciarıruo Bethilehemu ya Judea .
watu wakamletea watu wengi waliokua na pepo ,andu makimurehera andu aingi mari na ndaimono 
'Yehova Mungu wako ndiye wa pekee unayepaswa ,'Jehova Ngai waku nowe wiki wagiriiruo 
alipokuwa na umri wa miaka thelathini na tano,arĩ wa mĩaka mĩrongo ĩtatũ na ĩtaano
Naye Abimeleki akamwita Abrahamu akamwuliza ,Naake Abimeleki agĩgĩĩta Aburahamu akĩmũũria 
Isaka akamuuliza  “ Tunazo na kuni na moto ,Isaaka akĩmũũria  “ Twĩ na ngũ na mwaki 
Hawa ndio wazawa wa Isaka mwana wa Abrahamu ,Ici nĩcio njiarwa cia Isaaka mũrũ wa Aburahamu 
 Tena mmesikia kuwa watu wa kale waliambiwa ,Ningi ni muiguite ati andu a tene ni meeriruo
na utamulikia wale wote walio ndani ya nyumba,na ukamurikira aria othe mari thiini wa nyumba
Isaka akawafanyia karamu  wakala na kunywa .,Isaaka agĩkĩmarugĩra  makĩrĩa na makĩnyua .
Mwenyezi-Mungu amembariki bwana wangu  sana ,MWATHANI nĩaraathimĩĩte mwathi wakwa mũno 
Dada yake Tubal-kaini alikuwa akiitwa Naama .,Mwarĩ wa nyina na Tubali-Kaini eetagwo Naama .
na kwahivyo wakakubali kuingia kwake nyumbani,na kwoguo magĩĩtĩkĩra gũtoonya gwake mũciĩ
Baada ya Yesu kuzaliwa Bethilehemu ya Yudea ,Thutha wa Jesu guciariruo Bethilehemu ya Judea
Hakuna mtu anaweza kutumikia mabwana wawili ,Gutiri mundu ungihota gutungatira athani eri
lakini mtu yeyote atakayenisifu mbele ya watu,no mundu wothe ukangaana mbere ya andu
maana hata naye Ishmaeli alikuwa mtoto wake .,amu o naake Ishumaeli aarĩ mũũrũwe .
“ Wacha kuhuzunika kwa sababu ya mtoto huyu ,“Tiga gũtangĩka nĩ ũndũ wa kamwana 
Vile walikuwa Galilaya Yesu akawaambia hivi ,Riria maari Galili Jesu akimeera uu 
akafariki akiwa na miaka mia tisa na hamsini .,agĩkua aarĩ wa mĩaka magana kenda na mĩrongo ĩtaano .
Watumishi wa Isaka wakachimba kisima kingine ,Ndungata cia Isaaka nĩcienjire gĩthima kĩngĩ 
na akazingatia masharti na sheria zangu zote .,na agĩathĩkĩra maathani na mawatho maakwa moothe .
na atauliwa  kisha atafufuliwe siku ya tatu .,na oragwo  acoke ariukio muthenya wa gatatu .
damu ya ndugu yako yanililia kutoka udongoni .,thakame ya mũrũ wa nyina nĩrangaĩra ĩrĩ tĩĩriinĩ .
Akamwambia Abrahamu “ Nchi hii yote ni yangu ,Akĩĩra Aburahamu “ Bũrũri ũyũ wothe nĩ wakwa 
kama vile nilivyowapa mimea kuwa chakula chenu,o ta ũrĩa ndamũheire mĩmera ĩtuĩke irio cianyu
Alitoka huko akaenda kuchimba kisima kingine .,Nĩoimire kũu agĩthiĩ akĩenja gĩthima kĩngĩ .
 Ni nani mkubwa ndani ya Ufalme wa mbinguni ? , Nu munene thiini wa Uthamaki wa iguru ? 
Nitambariki  naye atakuzalia mtoto wa kiume .,Nĩngũmũraathima na nĩegũgũciarĩra kaana ga kahĩĩ .
Tena aliona kuwa Yakobo alimtii baba na mama ,Ningĩ nĩonire atĩ Jakubu nĩathĩkĩire ithe na nyina 
Naye Noa akafanya mambo yote ya Mwenyezi-Mungu,Naake Noa agĩĩka maũndũ moothe ma MWATHANI
nitakupa wewe mwenyewe  pamoja na wazawa wako,nĩngaakũhe wee mwene  o hamwe na njiarwa ciaku
